d_moded_NR_BFGS_wls, N_moded_NR_BFGS_wls
0.045375, 0.25
0.0923017, 0.5
0.140927, 0.75
0.19142, 1
0.243981, 1.25
0.298848, 1.5
0.356306, 1.75
0.416703, 2
0.480469, 2.25
0.548151, 2.5
0.620455, 2.75
0.698322, 3
0.78306, 3.25
0.876564, 3.5
0.981784, 3.75
1.10377, 3.99999
1.25263, 4.25
1.45581, 4.5
6.97813, 6.25
7.02331, 6.5
7.06709, 6.75
7.10956, 7
7.15083, 7.25
7.19098, 7.5
7.23008, 7.75
7.26821, 8
7.30542, 8.25
7.34177, 8.5
7.37731, 8.75
7.41208, 9
7.44612, 9.25
7.47948, 9.5
7.51219, 9.74998
7.54427, 9.99998
