d_moded_NR_BFGS, N_moded_NR_BFGS
0.0453731, 0.25
0.0922852, 0.5
0.140866, 0.75
0.191261, 1
0.24364, 1.25
0.298194, 1.5
0.355146, 1.75
0.414758, 2
0.477333, 2.25
0.543235, 2.5
0.612895, 2.75
0.686837, 3
0.765698, 3.25
0.850267, 3.5
0.941528, 3.75
1.04072, 4
1.14942, 4.25
1.26964, 4.5
1.40386, 4.75
1.55502, 5
1.72599, 5.25
1.91793, 5.5
2.12718, 5.75
2.34286, 6.00001
2.55047, 6.25
2.73996, 6.5
2.90845, 6.75
3.05743, 7
3.18983, 7.25
3.30855, 7.5
3.41603, 7.75
3.5142, 8
3.6046, 8.25
3.68844, 8.5
3.76668, 8.75
3.84008, 9
3.90926, 9.25
3.97475, 9.5
4.03695, 9.75
4.09623, 10
