d_moded_NR, N_moded_NR
0.0453724, 0.249996
0.0922844, 0.499995
0.140865, 0.749995
0.19126, 0.999994
0.243638, 1.24999
0.298192, 1.49999
0.355144, 1.74999
0.414755, 1.99999
0.47733, 2.24999
0.54323, 2.49998
0.612889, 2.74998
0.686836, 3
0.765698, 3.25
0.850267, 3.5
0.941527, 3.75
1.04072, 3.99999
1.14942, 4.24999
1.26963, 4.49999
1.40385, 4.74998
1.55501, 4.99998
1.72597, 5.24998
1.91792, 5.49999
2.12718, 5.75
2.34285, 6
2.55047, 6.25
2.73995, 6.49998
2.90845, 6.75
3.05743, 7
3.18984, 7.25
3.30855, 7.49998
3.41602, 7.74999
3.51419, 7.99999
3.6046, 8.24999
3.68844, 8.5
3.76668, 8.75
3.84008, 9
3.90926, 9.25
3.97475, 9.50002
4.03695, 9.75002
4.09623, 10
