d_NR, N_NR
0.0453729, 0.249999
0.092285, 0.499999
0.140865, 0.749999
0.191261, 0.999998
0.243639, 1.25
0.298193, 1.5
0.355146, 1.75
0.414757, 2
0.477332, 2.25
0.543234, 2.5
0.612893, 2.74999
0.686835, 2.99999
0.765695, 3.24999
0.850264, 3.49999
0.941523, 3.74999
1.04071, 3.99998
1.14941, 4.24998
1.26964, 4.5
1.40386, 4.75
1.55503, 5
1.72599, 5.25
1.91793, 5.5
2.12718, 5.74999
2.34285, 6
2.55048, 6.25001
2.73997, 6.5
2.90845, 6.75
3.05743, 7
3.18984, 7.25
3.30855, 7.5
3.41603, 7.75
3.51421, 8.00002
3.60461, 8.25002
3.68844, 8.50001
3.76668, 8.75001
3.84008, 9.00001
3.90926, 9.25001
3.97475, 9.5
4.03695, 9.75
4.09623, 10
